date,temperature
2024-07-01,85.2
2024-07-02,87.1
2024-07-03,84.9
2024-07-04,88.3
2024-07-05,89.7
2024-07-06,86.4
2024-07-07,85.8
2024-07-08,87.5
2024-07-09,88.9
2024-07-10,90.2
2024-07-11,89.6
2024-07-12,87.3
2024-07-13,85.7
2024-07-14,86.9
2024-07-15,88.4
2024-07-16,90.1
2024-07-17,89.3
2024-07-18,87.8
2024-07-19,86.2
2024-07-20,88.7
2024-07-21,89.9
2024-07-22,91.2
2024-07-23,90.5
2024-07-24,88.1
2024-07-25,86.7
2024-07-26,89.4
2024-07-27,90.8
2024-07-28,88.6
2024-07-29,87.2
2024-07-30,85.9
2024-07-31,87.7
2024-08-01,89.3
2024-08-02,91.1
2024-08-03,92.4
2024-08-04,90.7
2024-08-05,88.9
2024-08-06,87.5
2024-08-07,89.8
2024-08-08,91.6
2024-08-09,93.2
2024-08-10,92.1
2024-08-11,90.3
2024-08-12,88.7
2024-08-13,87.9
2024-08-14,90.5
2024-08-15,92.8
2024-08-16,91.4
2024-08-17,89.6
2024-08-18,88.2
2024-08-19,90.9
2024-08-20,93.5
2024-08-21,94.1
2024-08-22,92.7
2024-08-23,90.8
2024-08-24,89.3
2024-08-25,91.7
2024-08-26,93.9
2024-08-27,92.5
2024-08-28,90.1
2024-08-29,88.6
2024-08-30,87.4
2024-08-31,89.2
2024-09-01,87.8
2024-09-02,86.5
2024-09-03,84.9
2024-09-04,83.7
2024-09-05,85.3
2024-09-06,86.8
2024-09-07,84.2
2024-09-08,82.6
2024-09-09,81.9
2024-09-10,83.5
2024-09-11,85.1
2024-09-12,82.8
2024-09-13,80.7
2024-09-14,79.3
2024-09-15,81.6
2024-09-16,84.2
2024-09-17,82.5
2024-09-18,80.9
2024-09-19,79.1
2024-09-20,77.8
2024-09-21,80.4
2024-09-22,82.7
2024-09-23,81.3
2024-09-24,79.5
2024-09-25,78.2
2024-09-26,76.9
2024-09-27,79.6
2024-09-28,81.8
2024-09-29,80.1
2024-09-30,78.4
2024-10-01,76.7
2024-10-02,75.3
2024-10-03,73.9
2024-10-04,72.1
2024-10-05,74.8
2024-10-06,76.2
2024-10-07,74.6
2024-10-08,72.9
2024-10-09,71.5
2024-10-10,70.3
2024-10-11,72.7
2024-10-12,74.9
2024-10-13,73.4
2024-10-14,71.8
2024-10-15,70.2
2024-10-16,68.9
2024-10-17,71.3
2024-10-18,73.6
2024-10-19,72.1
2024-10-20,70.5
2024-10-21,69.2
2024-10-22,67.8
2024-10-23,70.4
2024-10-24,72.7
2024-10-25,71.2
2024-10-26,69.6
2024-10-27,68.1
2024-10-28,66.7
2024-10-29,69.3
2024-10-30,71.5
2024-10-31,70.0
2024-11-01,68.4
2024-11-02,66.9
2024-11-03,65.2
2024-11-04,63.8
2024-11-05,66.1
2024-11-06,68.3
2024-11-07,66.7
2024-11-08,65.1
2024-11-09,63.6
2024-11-10,62.2
2024-11-11,64.5
2024-11-12,66.8
2024-11-13,65.3
2024-11-14,63.7
2024-11-15,62.1
2024-11-16,60.8
2024-11-17,63.2
2024-11-18,65.4
2024-11-19,64.0
2024-11-20,62.3
2024-11-21,61.7
2024-11-22,59.9
2024-11-23,62.6
2024-11-24,64.8
2024-11-25,63.2
2024-11-26,61.5
2024-11-27,60.1
2024-11-28,58.7
2024-11-29,61.4
2024-11-30,63.9
2024-12-01,62.3
2024-12-02,60.6
2024-12-03,59.2
2024-12-04,57.8
2024-12-05,60.5
2024-12-06,62.7
2024-12-07,61.1
2024-12-08,59.4
2024-12-09,58.0
2024-12-10,56.6
2024-12-11,59.3
2024-12-12,61.5
2024-12-13,60.0
2024-12-14,58.3
2024-12-15,56.9
2024-12-16,55.5
2024-12-17,58.2
2024-12-18,60.4
2024-12-19,58.8
2024-12-20,57.1
2024-12-21,55.7
2024-12-22,54.3
2024-12-23,57.0
2024-12-24,59.2
2024-12-25,57.6
2024-12-26,55.9
2024-12-27,54.5
2024-12-28,53.1
2024-12-29,55.8
2024-12-30,58.0
2024-12-31,56.4
2025-01-01,54.7
2025-01-02,53.3
2025-01-03,51.9
2025-01-04,54.6
2025-01-05,56.8
2025-01-06,55.2
2025-01-07,53.5
2025-01-08,52.1
2025-01-09,50.7
2025-01-10,53.4
2025-01-11,55.6
2025-01-12,54.1
2025-01-13,52.4
2025-01-14,51.0
2025-01-15,49.6
2025-01-16,52.3
2025-01-17,54.5
2025-01-18,53.0
2025-01-19,51.3
2025-01-20,49.9
2025-01-21,48.5
2025-01-22,51.2
2025-01-23,53.4
2025-01-24,51.9
2025-01-25,50.2
2025-01-26,48.8
2025-01-27,47.4
2025-01-28,50.1
2025-01-29,52.3
2025-01-30,50.8
2025-01-31,49.1
2025-02-01,53.1
2025-02-02,57.8
2025-02-03,60.4 
